dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	epochs	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	None	16	(3, 3)	16	(-1, 1)	0	1	19.243799448013306	0.6742857142857143	0.17	0.6742857142857143	0.4142857142857143	0
0.01	None	16	(3, 3)	16	(-1, 1)	0	2	9.890901803970337	0.6742857142857143	0.11714285714285715	0.6742857142857143	0.3742857142857143	1
0.01	None	16	(3, 3)	16	(-1, 1)	0	4	12.374351501464844	0.6742857142857143	0.3357142857142857	0.6742857142857143	0.48142857142857143	2
0.01	None	16	(3, 3)	16	(-1, 1)	0	8	22.287468433380127	0.6742857142857143	0.10428571428571429	0.6742857142857143	0.38	3
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	1	5.739849805831909	0.6742857142857143	0.13857142857142857	0.6742857142857143	0.3742857142857143	4
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	2	7.793039560317993	0.6742857142857143	0.08857142857142856	0.6742857142857143	0.35	5
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	4	12.401288270950317	0.6742857142857143	0.12	0.6742857142857143	0.37285714285714283	6
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	8	21.399792432785034	0.6742857142857143	0.45285714285714285	0.6742857142857143	0.6071428571428571	7
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	1	5.724097967147827	0.6742857142857143	0.13857142857142857	0.6742857142857143	0.38571428571428573	8
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	2	7.359174728393555	0.6742857142857143	0.11	0.6742857142857143	0.37285714285714283	9
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	4	12.58638334274292	0.6742857142857143	0.09	0.6742857142857143	0.35285714285714287	10
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	8	22.33308243751526	0.6742857142857143	0.37714285714285717	0.6742857142857143	0.57	11
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	1	5.893707513809204	0.6742857142857143	0.08714285714285715	0.6742857142857143	0.35285714285714287	12
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	2	8.496237754821777	0.6742857142857143	0.17	0.6742857142857143	0.41714285714285715	13
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	4	12.926270246505737	0.6742857142857143	0.22428571428571428	0.6742857142857143	0.42714285714285716	14
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	8	21.198213815689087	0.6742857142857143	0.20142857142857143	0.6742857142857143	0.41	15
0.01	None	16	(3, 3)	16	(-1, 1)	1	1	5.7291460037231445	0.6742857142857143	0.04857142857142857	0.6742857142857143	0.32571428571428573	16
0.01	None	16	(3, 3)	16	(-1, 1)	1	2	8.156285047531128	0.6742857142857143	0.06571428571428571	0.6742857142857143	0.3385714285714286	17
0.01	None	16	(3, 3)	16	(-1, 1)	1	4	12.930275917053223	0.6742857142857143	0.1	0.6742857142857143	0.38	18
0.01	None	16	(3, 3)	16	(-1, 1)	1	8	22.833189964294434	0.6742857142857143	0.29428571428571426	0.6742857142857143	0.4957142857142857	19
0.01	None	16	(3, 3)	16	(0, 1)	0	1	5.635004281997681	0.6742857142857143	0.055714285714285716	0.6742857142857143	0.32857142857142857	20
0.01	None	16	(3, 3)	16	(0, 1)	0	2	7.366054534912109	0.6742857142857143	0.09857142857142857	0.6742857142857143	0.3657142857142857	21
0.01	None	16	(3, 3)	16	(0, 1)	0	4	11.903740167617798	0.6742857142857143	0.20857142857142857	0.6742857142857143	0.4514285714285714	22
0.01	None	16	(3, 3)	16	(0, 1)	0	8	23.61415672302246	0.6742857142857143	0.32	0.6742857142857143	0.5357142857142857	23
0.01	None	16	(3, 3)	16	(0, 1)	0.3	1	5.692930698394775	0.6742857142857143	0.04428571428571428	0.6742857142857143	0.3271428571428571	24
0.01	None	16	(3, 3)	16	(0, 1)	0.3	2	7.348522901535034	0.6742857142857143	0.07	0.6742857142857143	0.3314285714285714	25
0.01	None	16	(3, 3)	16	(0, 1)	0.3	4	11.708406448364258	0.6742857142857143	0.08714285714285715	0.6742857142857143	0.3442857142857143	26
0.01	None	16	(3, 3)	16	(0, 1)	0.3	8	21.425490379333496	0.6742857142857143	0.12571428571428572	0.6742857142857143	0.39714285714285713	27
0.01	None	16	(3, 3)	16	(0, 1)	0.6	1	5.741389274597168	0.6742857142857143	0.20714285714285716	0.6742857142857143	0.41714285714285715	28
0.01	None	16	(3, 3)	16	(0, 1)	0.6	2	8.074067115783691	0.6742857142857143	0.07571428571428572	0.6742857142857143	0.3414285714285714	29
0.01	None	16	(3, 3)	16	(0, 1)	0.6	4	12.46223783493042	0.6742857142857143	0.18	0.6742857142857143	0.38571428571428573	30
0.01	None	16	(3, 3)	16	(0, 1)	0.6	8	22.20356249809265	0.6742857142857143	0.1757142857142857	0.6742857142857143	0.3985714285714286	31
0.01	None	16	(3, 3)	16	(0, 1)	0.8	1	5.796052932739258	0.6742857142857143	0.06428571428571428	0.6742857142857143	0.33	32
0.01	None	16	(3, 3)	16	(0, 1)	0.8	2	7.89177680015564	0.6742857142857143	0.11428571428571428	0.6742857142857143	0.37714285714285717	33
0.01	None	16	(3, 3)	16	(0, 1)	0.8	4	12.937825202941895	0.6742857142857143	0.05285714285714286	0.6742857142857143	0.3271428571428571	34
0.01	None	16	(3, 3)	16	(0, 1)	0.8	8	23.414528369903564	0.6742857142857143	0.20714285714285716	0.6742857142857143	0.44857142857142857	35
0.01	None	16	(3, 3)	16	(0, 1)	1	1	5.752522706985474	0.6742857142857143	0.047142857142857146	0.6742857142857143	0.32571428571428573	36
0.01	None	16	(3, 3)	16	(0, 1)	1	2	7.98241662979126	0.6742857142857143	0.08857142857142856	0.6742857142857143	0.34285714285714286	37
0.01	None	16	(3, 3)	16	(0, 1)	1	4	12.458957195281982	0.6742857142857143	0.2357142857142857	0.6742857142857143	0.46	38
0.01	None	16	(3, 3)	16	(0, 1)	1	8	22.541239023208618	0.6742857142857143	0.28285714285714286	0.6742857142857143	0.41	39
0.01	None	16	(3, 3)	16	None	0	1	4.455025672912598	0.6742857142857143	0.054285714285714284	0.6742857142857143	0.3314285714285714	40
0.01	None	16	(3, 3)	16	None	0	2	6.077457427978516	0.6742857142857143	0.37	0.6742857142857143	0.58	41
0.01	None	16	(3, 3)	16	None	0	4	8.857254266738892	0.6742857142857143	0.31142857142857144	0.6742857142857143	0.5485714285714286	42
0.01	None	16	(3, 3)	16	None	0	8	15.677189111709595	0.6742857142857143	0.38142857142857145	0.6742857142857143	0.5557142857142857	43
0.01	None	16	(3, 3)	16	None	0.3	1	4.505011320114136	0.6742857142857143	0.17142857142857143	0.6742857142857143	0.38285714285714284	44
0.01	None	16	(3, 3)	16	None	0.3	2	6.604671955108643	0.6742857142857143	0.38142857142857145	0.6742857142857143	0.5928571428571429	45
0.01	None	16	(3, 3)	16	None	0.3	4	9.341613292694092	0.6742857142857143	0.26285714285714284	0.6742857142857143	0.4957142857142857	46
0.01	None	16	(3, 3)	16	None	0.3	8	16.084538459777832	0.6742857142857143	0.39285714285714285	0.6742857142857143	0.5914285714285714	47
0.01	None	16	(3, 3)	16	None	0.6	1	4.499990940093994	0.6742857142857143	0.045714285714285714	0.6742857142857143	0.32571428571428573	48
