dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	morphed	16	(3, 3)	16	(0, 1)	0	69.46351337432861	0.6542857142857142	0.6614285714285715	0.6542857142857142	0.6757142857142857	65
0.01	morphed	16	(3, 3)	16	(0, 1)	25	69.51195406913757	0.6685714285714286	0.6671428571428571	0.6685714285714286	0.6685714285714286	66
0.01	morphed	16	(3, 3)	16	(0, 1)	50	71.77896642684937	0.6685714285714286	0.6371428571428571	0.6685714285714286	0.7685714285714286	67
0.01	morphed	16	(3, 3)	16	(0, 1)	75	70.99433851242065	0.6514285714285715	0.6557142857142857	0.6514285714285715	0.6842857142857143	68
0.01	morphed	16	(3, 3)	16	(0, 1)	100	73.673104763031	0.6985714285714286	0.6457142857142857	0.6985714285714286	0.7628571428571429	69
0.01	morphed	16	(3, 3)	16	None	0	68.53968858718872	0.6514285714285715	0.6514285714285715	0.6514285714285715	0.6514285714285715	70
0.01	morphed	16	(3, 3)	16	None	25	70.66140389442444	0.66	0.6571428571428571	0.66	0.7314285714285714	71
0.01	morphed	16	(3, 3)	16	None	50	70.98906016349792	0.6685714285714286	0.6657142857142857	0.6685714285714286	0.71	72
0.01	morphed	16	(3, 3)	16	None	75	70.06175756454468	0.6414285714285715	0.6557142857142857	0.6414285714285715	0.6757142857142857	73
0.01	morphed	16	(3, 3)	16	None	100	72.94137144088745	0.6914285714285714	0.6714285714285714	0.6914285714285714	0.7671428571428571	74
0.2	max_morphed	16	(3, 3)	16	(-1, 1)	0	69.55822682380676	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	75
0.2	max_morphed	16	(3, 3)	16	(-1, 1)	25	70.280837059021	0.6471428571428571	0.6471428571428571	0.6471428571428571	0.6471428571428571	76
0.2	max_morphed	16	(3, 3)	16	(-1, 1)	50	70.24408411979675	0.6528571428571428	0.6528571428571428	0.6528571428571428	0.6528571428571428	77
0.2	max_morphed	16	(3, 3)	16	(-1, 1)	75	71.77999067306519	0.65	0.65	0.65	0.65	78
0.2	max_morphed	16	(3, 3)	16	(-1, 1)	100	74.23719334602356	0.6714285714285714	0.6385714285714286	0.6714285714285714	0.6714285714285714	79
0.2	max_morphed	16	(3, 3)	16	(0, 1)	0	69.4788498878479	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.6428571428571429	80
0.2	max_morphed	16	(3, 3)	16	(0, 1)	25	69.56481957435608	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	81
0.2	max_morphed	16	(3, 3)	16	(0, 1)	50	71.72802376747131	0.6557142857142857	0.6457142857142857	0.6557142857142857	0.6671428571428571	82
0.2	max_morphed	16	(3, 3)	16	(0, 1)	75	70.99845957756042	0.6528571428571428	0.6528571428571428	0.6528571428571428	0.6528571428571428	83
0.2	max_morphed	16	(3, 3)	16	(0, 1)	100	73.85209536552429	0.6642857142857143	0.5071428571428571	0.6642857142857143	0.6614285714285715	84
0.2	max_morphed	16	(3, 3)	16	None	0	68.59432816505432	0.6314285714285715	0.6314285714285715	0.6314285714285715	0.6314285714285715	85
0.2	max_morphed	16	(3, 3)	16	None	25	68.58876967430115	0.6485714285714286	0.6485714285714286	0.6485714285714286	0.6485714285714286	86
0.2	max_morphed	16	(3, 3)	16	None	50	69.34241199493408	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	87
0.2	max_morphed	16	(3, 3)	16	None	75	70.71047592163086	0.6514285714285715	0.6514285714285715	0.6514285714285715	0.6514285714285715	88
0.2	max_morphed	16	(3, 3)	16	None	100	73.30929803848267	0.6357142857142857	0.6357142857142857	0.6357142857142857	0.6571428571428571	89
0.2	None	16	(3, 3)	16	(-1, 1)	0	17.915966987609863	0.6814285714285714	0.6814285714285714	0.6814285714285714	0.6814285714285714	90
0.2	None	16	(3, 3)	16	(-1, 1)	25	19.453346252441406	0.6614285714285715	0.67	0.6614285714285715	0.7028571428571428	91
0.2	None	16	(3, 3)	16	(-1, 1)	50	18.761101961135864	0.6628571428571428	0.6757142857142857	0.6628571428571428	0.71	92
0.2	None	16	(3, 3)	16	(-1, 1)	75	18.756964921951294	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.6671428571428571	93
0.2	None	16	(3, 3)	16	(-1, 1)	100	22.00428819656372	0.6771428571428572	0.6771428571428572	0.6771428571428572	0.7985714285714286	94
0.2	None	16	(3, 3)	16	(0, 1)	0	17.960664987564087	0.6614285714285715	0.6614285714285715	0.6614285714285715	0.6614285714285715	95
0.2	None	16	(3, 3)	16	(0, 1)	25	17.866607904434204	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.6671428571428571	96
0.2	None	16	(3, 3)	16	(0, 1)	50	18.703414916992188	0.66	0.6614285714285715	0.66	0.6628571428571428	97
0.2	None	16	(3, 3)	16	(0, 1)	75	22.2106990814209	0.6585714285714286	0.6542857142857142	0.6585714285714286	0.7357142857142858	98
0.2	None	16	(3, 3)	16	(0, 1)	100	21.86138415336609	0.6457142857142857	0.6457142857142857	0.6457142857142857	0.7557142857142857	99
0.2	None	16	(3, 3)	16	None	0	17.06850028038025	0.6757142857142857	0.6814285714285714	0.6757142857142857	0.7014285714285714	100
0.2	None	16	(3, 3)	16	None	25	17.099589109420776	0.6728571428571428	0.6728571428571428	0.6728571428571428	0.6728571428571428	101
0.2	None	16	(3, 3)	16	None	50	17.828349590301514	0.69	0.6985714285714286	0.69	0.7242857142857143	102
0.2	None	16	(3, 3)	16	None	75	19.290626525878906	0.6642857142857143	0.67	0.6642857142857143	0.6757142857142857	103
0.2	None	16	(3, 3)	16	None	100	21.178138256072998	0.6514285714285715	0.55	0.6514285714285715	0.73	104
0.2	resized	16	(3, 3)	16	(-1, 1)	0	69.63212466239929	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	105
0.2	resized	16	(3, 3)	16	(-1, 1)	25	70.43008589744568	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.6671428571428571	106
0.2	resized	16	(3, 3)	16	(-1, 1)	50	71.8351514339447	0.6414285714285715	0.65	0.6414285714285715	0.6757142857142857	107
0.2	resized	16	(3, 3)	16	(-1, 1)	75	71.77721357345581	0.6585714285714286	0.6585714285714286	0.6585714285714286	0.6585714285714286	108
0.2	resized	16	(3, 3)	16	(-1, 1)	100	73.65967679023743	0.6314285714285715	0.6414285714285715	0.6314285714285715	0.6757142857142857	109
0.2	resized	16	(3, 3)	16	(0, 1)	0	69.51073431968689	0.6757142857142857	0.6757142857142857	0.6757142857142857	0.6757142857142857	110
0.2	resized	16	(3, 3)	16	(0, 1)	25	69.5196442604065	0.6542857142857142	0.6542857142857142	0.6542857142857142	0.6542857142857142	111
0.2	resized	16	(3, 3)	16	(0, 1)	50	74.04932451248169	0.65	0.6157142857142858	0.65	0.7085714285714285	112
0.2	resized	16	(3, 3)	16	(0, 1)	75	74.15764379501343	0.6871428571428572	0.5714285714285714	0.6871428571428572	0.7214285714285714	113
0.2	resized	16	(3, 3)	16	(0, 1)	100	73.70182967185974	0.6585714285714286	0.5914285714285714	0.6585714285714286	0.7028571428571428	114
0.2	resized	16	(3, 3)	16	None	0	68.59388971328735	0.65	0.65	0.65	0.65	115
0.2	resized	16	(3, 3)	16	None	25	68.52904224395752	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.6428571428571429	116
0.2	resized	16	(3, 3)	16	None	50	70.1225860118866	0.6614285714285715	0.6785714285714286	0.6614285714285715	0.7014285714285714	117
0.2	resized	16	(3, 3)	16	None	75	72.94039940834045	0.6785714285714286	0.6714285714285714	0.6785714285714286	0.7271428571428571	118
0.2	resized	16	(3, 3)	16	None	100	72.75404167175293	0.6314285714285715	0.5985714285714285	0.6314285714285715	0.7557142857142857	119
0.2	tozero	16	(3, 3)	16	(-1, 1)	0	69.49358105659485	0.6657142857142857	0.6657142857142857	0.6657142857142857	0.6657142857142857	120
0.2	tozero	16	(3, 3)	16	(-1, 1)	25	70.44528532028198	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	121
0.2	tozero	16	(3, 3)	16	(-1, 1)	50	71.0729558467865	0.6642857142857143	0.6728571428571428	0.6642857142857143	0.6871428571428572	122
0.2	tozero	16	(3, 3)	16	(-1, 1)	75	74.01150584220886	0.6171428571428571	0.6028571428571429	0.6171428571428571	0.6685714285714286	123
0.2	tozero	16	(3, 3)	16	(-1, 1)	100	73.79705023765564	0.6314285714285715	0.6328571428571429	0.6314285714285715	0.6471428571428571	124
0.2	tozero	16	(3, 3)	16	(0, 1)	0	69.53542971611023	0.6214285714285714	0.6214285714285714	0.6214285714285714	0.6214285714285714	125
0.2	tozero	16	(3, 3)	16	(0, 1)	25	71.67058181762695	0.6442857142857142	0.6371428571428571	0.6442857142857142	0.6528571428571428	126
0.2	tozero	16	(3, 3)	16	(0, 1)	50	71.67694664001465	0.6528571428571428	0.6128571428571429	0.6528571428571428	0.7028571428571428	127
0.2	tozero	16	(3, 3)	16	(0, 1)	75	70.289630651474	0.6357142857142857	0.6357142857142857	0.6357142857142857	0.6357142857142857	128
0.2	tozero	16	(3, 3)	16	(0, 1)	100	74.00859546661377	0.6814285714285714	0.6585714285714286	0.6814285714285714	0.7642857142857142	129
0.2	tozero	16	(3, 3)	16	None	0	68.57712364196777	0.6614285714285715	0.6614285714285715	0.6614285714285715	0.6614285714285715	130
0.2	tozero	16	(3, 3)	16	None	25	68.57557487487793	0.6542857142857142	0.6542857142857142	0.6542857142857142	0.6542857142857142	131
0.2	tozero	16	(3, 3)	16	None	50	69.3834400177002	0.6557142857142857	0.6557142857142857	0.6557142857142857	0.6557142857142857	132
0.2	tozero	16	(3, 3)	16	None	75	72.93154454231262	0.6485714285714286	0.65	0.6485714285714286	0.6828571428571428	133
0.2	tozero	16	(3, 3)	16	None	100	73.13268733024597	0.68	0.6685714285714286	0.68	0.7657142857142857	134
0.2	morphed	16	(3, 3)	16	(-1, 1)	0	69.55774259567261	0.6385714285714286	0.6385714285714286	0.6385714285714286	0.6385714285714286	135
0.2	morphed	16	(3, 3)	16	(-1, 1)	25	70.3531756401062	0.6485714285714286	0.6485714285714286	0.6485714285714286	0.6485714285714286	136
0.2	morphed	16	(3, 3)	16	(-1, 1)	50	73.888587474823	0.6471428571428571	0.6328571428571429	0.6471428571428571	0.77	137
0.2	morphed	16	(3, 3)	16	(-1, 1)	75	74.09243726730347	0.6628571428571428	0.6457142857142857	0.6628571428571428	0.7285714285714285	138
0.2	morphed	16	(3, 3)	16	(-1, 1)	100	74.08018732070923	0.6685714285714286	0.6657142857142857	0.6685714285714286	0.7557142857142857	139
0.2	morphed	16	(3, 3)	16	(0, 1)	0	69.49854469299316	0.6557142857142857	0.6571428571428571	0.6557142857142857	0.6571428571428571	140
0.2	morphed	16	(3, 3)	16	(0, 1)	25	70.35667252540588	0.65	0.65	0.65	0.65	141
0.2	morphed	16	(3, 3)	16	(0, 1)	50	70.38181328773499	0.6628571428571428	0.6628571428571428	0.6628571428571428	0.6628571428571428	142
0.2	morphed	16	(3, 3)	16	(0, 1)	75	71.80712604522705	0.68	0.6842857142857143	0.68	0.7042857142857143	143
0.2	morphed	16	(3, 3)	16	(0, 1)	100	73.9802885055542	0.6542857142857142	0.6442857142857142	0.6542857142857142	0.7314285714285714	144
0.2	morphed	16	(3, 3)	16	None	0	68.64560675621033	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.67	145
0.2	morphed	16	(3, 3)	16	None	25	69.3571949005127	0.6071428571428571	0.6071428571428571	0.6071428571428571	0.6071428571428571	146
0.2	morphed	16	(3, 3)	16	None	50	69.45990228652954	0.6357142857142857	0.6357142857142857	0.6357142857142857	0.6357142857142857	147
0.2	morphed	16	(3, 3)	16	None	75	70.77081084251404	0.68	0.68	0.68	0.68	148
0.2	morphed	16	(3, 3)	16	None	100	73.2818329334259	0.63	0.6314285714285715	0.63	0.7228571428571429	149
0.5	max_morphed	16	(3, 3)	16	(-1, 1)	0	69.57875418663025	0.6614285714285715	0.6614285714285715	0.6614285714285715	0.6614285714285715	150
0.5	max_morphed	16	(3, 3)	16	(-1, 1)	25	71.8629584312439	0.6685714285714286	0.6685714285714286	0.6685714285714286	0.6685714285714286	151
0.5	max_morphed	16	(3, 3)	16	(-1, 1)	50	70.28639268875122	0.6228571428571429	0.6228571428571429	0.6228571428571429	0.6228571428571429	152
0.5	max_morphed	16	(3, 3)	16	(-1, 1)	75	74.16606307029724	0.6328571428571429	0.6342857142857142	0.6328571428571429	0.6428571428571429	153
0.5	max_morphed	16	(3, 3)	16	(-1, 1)	100	74.25743460655212	0.6528571428571428	0.6528571428571428	0.6528571428571428	0.6528571428571428	154
0.5	max_morphed	16	(3, 3)	16	(0, 1)	0	69.56943082809448	0.6714285714285714	0.6714285714285714	0.6714285714285714	0.6714285714285714	155
0.5	max_morphed	16	(3, 3)	16	(0, 1)	25	70.41274309158325	0.6742857142857143	0.6742857142857143	0.6742857142857143	0.6742857142857143	156
0.5	max_morphed	16	(3, 3)	16	(0, 1)	50	70.22167539596558	0.6471428571428571	0.6471428571428571	0.6471428571428571	0.6471428571428571	157
0.5	max_morphed	16	(3, 3)	16	(0, 1)	75	70.29926753044128	0.6371428571428571	0.6371428571428571	0.6371428571428571	0.6371428571428571	158
0.5	max_morphed	16	(3, 3)	16	(0, 1)	100	73.85406541824341	0.6457142857142857	0.6357142857142857	0.6457142857142857	0.6457142857142857	159
0.5	max_morphed	16	(3, 3)	16	None	0	68.57644820213318	0.6642857142857143	0.6642857142857143	0.6642857142857143	0.6642857142857143	160
0.5	max_morphed	16	(3, 3)	16	None	25	68.51819276809692	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.6671428571428571	161
0.5	max_morphed	16	(3, 3)	16	None	50	72.94538378715515	0.6485714285714286	0.6342857142857142	0.6485714285714286	0.6471428571428571	162
0.5	max_morphed	16	(3, 3)	16	None	75	69.37736010551453	0.6585714285714286	0.6585714285714286	0.6585714285714286	0.6585714285714286	163
0.5	max_morphed	16	(3, 3)	16	None	100	73.24635362625122	0.6571428571428571	0.6557142857142857	0.6571428571428571	0.6557142857142857	164
0.5	None	16	(3, 3)	16	(-1, 1)	0	17.981570959091187	0.6471428571428571	0.6471428571428571	0.6471428571428571	0.6471428571428571	165
0.5	None	16	(3, 3)	16	(-1, 1)	25	18.721387147903442	0.64	0.64	0.64	0.64	166
0.5	None	16	(3, 3)	16	(-1, 1)	50	22.358486652374268	0.6614285714285715	0.65	0.6614285714285715	0.7457142857142857	167
0.5	None	16	(3, 3)	16	(-1, 1)	75	20.22121262550354	0.6414285714285715	0.6414285714285715	0.6414285714285715	0.6414285714285715	168
0.5	None	16	(3, 3)	16	(-1, 1)	100	22.131341218948364	0.6628571428571428	0.6728571428571428	0.6628571428571428	0.7085714285714285	169
0.5	None	16	(3, 3)	16	(0, 1)	0	17.963993072509766	0.6728571428571428	0.6728571428571428	0.6728571428571428	0.6728571428571428	170
0.5	None	16	(3, 3)	16	(0, 1)	25	18.75941824913025	0.65	0.65	0.65	0.65	171
0.5	None	16	(3, 3)	16	(0, 1)	50	18.6572744846344	0.6714285714285714	0.6714285714285714	0.6714285714285714	0.6714285714285714	172
0.5	None	16	(3, 3)	16	(0, 1)	75	19.34328055381775	0.64	0.64	0.64	0.64	173
0.5	None	16	(3, 3)	16	(0, 1)	100	22.2258620262146	0.6457142857142857	0.6471428571428571	0.6457142857142857	0.7128571428571429	174
0.5	None	16	(3, 3)	16	None	0	17.033333778381348	0.64	0.64	0.64	0.64	175
0.5	None	16	(3, 3)	16	None	25	17.81127905845642	0.6585714285714286	0.6585714285714286	0.6585714285714286	0.6585714285714286	176
0.5	None	16	(3, 3)	16	None	50	19.206695318222046	0.6385714285714286	0.6385714285714286	0.6385714285714286	0.6385714285714286	177
0.5	None	16	(3, 3)	16	None	75	21.43468475341797	0.65	0.6585714285714286	0.65	0.68	178
0.5	None	16	(3, 3)	16	None	100	21.449946403503418	0.6385714285714286	0.6257142857142857	0.6385714285714286	0.7014285714285714	179
0.5	resized	16	(3, 3)	16	(-1, 1)	0	69.48174476623535	0.6385714285714286	0.6385714285714286	0.6385714285714286	0.6385714285714286	180
0.5	resized	16	(3, 3)	16	(-1, 1)	25	69.53631711006165	0.6828571428571428	0.6828571428571428	0.6828571428571428	0.6828571428571428	181
0.5	resized	16	(3, 3)	16	(-1, 1)	50	69.51547026634216	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.6428571428571429	182
0.5	resized	16	(3, 3)	16	(-1, 1)	75	71.14105248451233	0.6585714285714286	0.6585714285714286	0.6585714285714286	0.6585714285714286	183
0.5	resized	16	(3, 3)	16	(-1, 1)	100	73.86710476875305	0.6714285714285714	0.5842857142857143	0.6714285714285714	0.7385714285714285	184
0.5	resized	16	(3, 3)	16	(0, 1)	0	69.57219219207764	0.6642857142857143	0.6642857142857143	0.6642857142857143	0.6642857142857143	185
0.5	resized	16	(3, 3)	16	(0, 1)	25	70.32360196113586	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	186
0.5	resized	16	(3, 3)	16	(0, 1)	50	71.69172167778015	0.66	0.66	0.66	0.66	187
0.5	resized	16	(3, 3)	16	(0, 1)	75	74.00375843048096	0.6671428571428571	0.6557142857142857	0.6671428571428571	0.7114285714285714	188
0.5	resized	16	(3, 3)	16	(0, 1)	100	73.90866255760193	0.62	0.6228571428571429	0.62	0.6442857142857142	189
0.5	resized	16	(3, 3)	16	None	0	68.61163401603699	0.6514285714285715	0.6514285714285715	0.6514285714285715	0.6514285714285715	190
0.5	resized	16	(3, 3)	16	None	25	68.69646406173706	0.6771428571428572	0.6771428571428572	0.6771428571428572	0.6771428571428572	191
0.5	resized	16	(3, 3)	16	None	50	70.20393395423889	0.64	0.64	0.64	0.64	192
0.5	resized	16	(3, 3)	16	None	75	73.09672212600708	0.6385714285714286	0.6371428571428571	0.6385714285714286	0.6642857142857143	193
0.5	resized	16	(3, 3)	16	None	100	73.19389581680298	0.6742857142857143	0.6757142857142857	0.6742857142857143	0.7214285714285714	194
0.5	tozero	16	(3, 3)	16	(-1, 1)	0	69.66467499732971	0.6571428571428571	0.6571428571428571	0.6571428571428571	0.6571428571428571	195
