re_train_on_known_errors	scalar	pre_processing_type	dropout	conv_layer_1	size	epochs	time	boolean_zr_acc	multi_class_model_acc	boolean_model_acc
0.8	None	None	0.02	16	256	1	81.0042994	0.674285714	0.684285714	0.704285714
0	(-1, 1)	None	0.005	16	256	1	80.11137748	0.674285714	0.684285714	0.697142857
0	(0, 1)	None	0.005	16	256	1	77.04651141	0.674285714	0.682857143	0.687142857
0.6	(-1, 1)	None	0.005	32	256	1	103.5702109	0.674285714	0.682857143	0.687142857
0	(-1, 1)	None	0.01	64	256	1	222.5501802	0.674285714	0.681428571	0.684285714
1	(-1, 1)	None	0.02	16	256	1	92.62331152	0.674285714	0.68	0.682857143
0	(-1, 1)	None	0.01	32	256	1	98.84860802	0.674285714	0.68	0.685714286
0.6	(0, 1)	None	0.01	16	256	1	83.71733236	0.674285714	0.68	0.681428571
0	None	None	0.02	16	256	1	76.95793509	0.674285714	0.677142857	0.685714286
0.6	(-1, 1)	None	0.01	32	256	1	103.5943162	0.674285714	0.675714286	0.677142857
1	(-1, 1)	None	0.02	32	256	1	137.8733833	0.674285714	0.675714286	0.678571429
0.3	(-1, 1)	None	0.005	32	256	1	99.31032467	0.674285714	0.675714286	0.678571429
0.8	(-1, 1)	None	0.005	32	256	1	116.2588682	0.674285714	0.675714286	0.675714286
0.8	None	None	0.01	16	256	1	79.39610648	0.674285714	0.674285714	0.675714286
1	(-1, 1)	None	0.005	16	256	8	682.3881857	0.674285714	0.452857143	0.65
1	(-1, 1)	None	0.02	16	256	4	347.6990199	0.674285714	0.415714286	0.59
